[Kavita] [2025-03-05 12:44:18.156 +01:00  1] [Information] API.Services.TaskScheduler Scheduling reoccurring tasks
[Kavita] [2025-03-05 12:44:18.169 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Scan Library Task for daily
[Kavita] [2025-03-05 12:44:18.202 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Backup Task for daily
[Kavita] [2025-03-05 12:44:18.204 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling Cleanup Task for daily
[Kavita] [2025-03-05 12:44:18.206 +01:00  1] [Information] API.Services.TaskScheduler Scheduling Auto-Update tasks
[Kavita] [2025-03-05 12:44:18.215 +01:00  1] [Debug] API.Services.TaskScheduler Scheduling stat collection daily
[Kavita] [2025-03-05 12:44:18.221 +01:00  13] [Information] API.Program Running Migrations
[Kavita] [2025-03-05 12:44:18.235 +01:00  13] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:18.235 +01:00  13] [Fatal] API.Program Running MigrateUserLibrarySideNavStream migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:18.237 +01:00  13] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:18.242 +01:00  13] [Fatal] API.Program Running MigrateSmartFilterEncoding migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:18.243 +01:00  13] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:18.249 +01:00  13] [Fatal] API.Program Running MigrateLibrariesToHaveAllFileTypes migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:18.250 +01:00  13] [Fatal] API.Program Running MigrateEmailTemplates migration - Please be patient, this may take some time. This is not an error
[Kavita] [2025-03-05 12:44:18.540 +01:00  13] [Information] API.Program /kavita/config/templates/EmailChange.html downloaded and written successfully
[Kavita] [2025-03-05 12:44:18.722 +01:00  4] [Information] API.Program /kavita/config/templates/EmailConfirm.html downloaded and written successfully
[Kavita] [2025-03-05 12:44:18.878 +01:00  4] [Information] API.Program /kavita/config/templates/EmailPasswordReset.html downloaded and written successfully
[Kavita] [2025-03-05 12:44:19.075 +01:00  6] [Information] API.Program /kavita/config/templates/SendToDevice.html downloaded and written successfully
[Kavita] [2025-03-05 12:44:19.243 +01:00  4] [Information] API.Program /kavita/config/templates/EmailTest.html downloaded and written successfully
[Kavita] [2025-03-05 12:44:19.245 +01:00  4] [Fatal] API.Program Running MigrateEmailTemplates migration - Completed. This is not an error
[Kavita] [2025-03-05 12:44:19.260 +01:00  4] [Fatal] API.Program Running MigrateVolumeNumber migration - Please be patient, this may take some time. This is not an error
